"Year","State.Code","State.Name","Total.Math","Total.Test-takers","Total.Verbal","Academic Subjects.Arts/Music.Average GPA","Academic Subjects.Arts/Music.Average Years","Academic Subjects.English.Average GPA","Academic Subjects.English.Average Years","Academic Subjects.Foreign Languages.Average GPA","Academic Subjects.Foreign Languages.Average Years","Academic Subjects.Mathematics.Average GPA","Academic Subjects.Mathematics.Average Years","Academic Subjects.Natural Sciences.Average GPA","Academic Subjects.Natural Sciences.Average Years","Academic Subjects.Social Sciences/History.Average GPA","Academic Subjects.Social Sciences/History.Average Years","Family Income.Between 20-40k.Math","Family Income.Between 20-40k.Test-takers","Family Income.Between 20-40k.Verbal","Family Income.Between 40-60k.Math","Family Income.Between 40-60k.Test-takers","Family Income.Between 40-60k.Verbal","Family Income.Between 60-80k.Math","Family Income.Between 60-80k.Test-takers","Family Income.Between 60-80k.Verbal","Family Income.Between 80-100k.Math","Family Income.Between 80-100k.Test-takers","Family Income.Between 80-100k.Verbal","Family Income.Less than 20k.Math","Family Income.Less than 20k.Test-takers","Family Income.Less than 20k.Verbal","Family Income.More than 100k.Math","Family Income.More than 100k.Test-takers","Family Income.More than 100k.Verbal","GPA.A minus.Math","GPA.A minus.Test-takers","GPA.A minus.Verbal","GPA.A plus.Math","GPA.A plus.Test-takers","GPA.A plus.Verbal","GPA.A.Math","GPA.A.Test-takers","GPA.A.Verbal","GPA.B.Math","GPA.B.Test-takers","GPA.B.Verbal","GPA.C.Math","GPA.C.Test-takers","GPA.C.Verbal","GPA.D or lower.Math","GPA.D or lower.Test-takers","GPA.D or lower.Verbal","GPA.No response.Math","GPA.No response.Test-takers","GPA.No response.Verbal","Gender.Female.Math","Gender.Female.Test-takers","Gender.Female.Verbal","Gender.Male.Math","Gender.Male.Test-takers","Gender.Male.Verbal","Score Ranges.Between 200 to 300.Math.Females","Score Ranges.Between 200 to 300.Math.Males","Score Ranges.Between 200 to 300.Math.Total","Score Ranges.Between 200 to 300.Verbal.Females","Score Ranges.Between 200 to 300.Verbal.Males","Score Ranges.Between 200 to 300.Verbal.Total","Score Ranges.Between 300 to 400.Math.Females","Score Ranges.Between 300 to 400.Math.Males","Score Ranges.Between 300 to 400.Math.Total","Score Ranges.Between 300 to 400.Verbal.Females","Score Ranges.Between 300 to 400.Verbal.Males","Score Ranges.Between 300 to 400.Verbal.Total","Score Ranges.Between 400 to 500.Math.Females","Score Ranges.Between 400 to 500.Math.Males","Score Ranges.Between 400 to 500.Math.Total","Score Ranges.Between 400 to 500.Verbal.Females","Score Ranges.Between 400 to 500.Verbal.Males","Score Ranges.Between 400 to 500.Verbal.Total","Score Ranges.Between 500 to 600.Math.Females","Score Ranges.Between 500 to 600.Math.Males","Score Ranges.Between 500 to 600.Math.Total","Score Ranges.Between 500 to 600.Verbal.Females","Score Ranges.Between 500 to 600.Verbal.Males","Score Ranges.Between 500 to 600.Verbal.Total","Score Ranges.Between 600 to 700.Math.Females","Score Ranges.Between 600 to 700.Math.Males","Score Ranges.Between 600 to 700.Math.Total","Score Ranges.Between 600 to 700.Verbal.Females","Score Ranges.Between 600 to 700.Verbal.Males","Score Ranges.Between 600 to 700.Verbal.Total","Score Ranges.Between 700 to 800.Math.Females","Score Ranges.Between 700 to 800.Math.Males","Score Ranges.Between 700 to 800.Math.Total","Score Ranges.Between 700 to 800.Verbal.Females","Score Ranges.Between 700 to 800.Verbal.Males","Score Ranges.Between 700 to 800.Verbal.Total"
"2015","SC","South Carolina","488","26336","488","3.83","2.2","3.51","4.0","3.42","2.7","3.32","4.0","3.43","3.5","3.48","3.6","447","2999","451","473","2633","478","481","2481","485","494","1958","497","417","2214","422","522","4332","521","496","5606","496","586","1969","581","534","6868","532","444","9629","448","390","1358","395","365","19","402","438","887","453","473","14451","485","503","11885","492","392","241","633","333","333","666","2774","1663","4437","2378","1854","4232","5419","3756","9175","5310","4025","9335","4130","3823","7953","4343","3661","8004","1540","1915","3455","1771","1679","3450","196","487","683","316","333","649"
"2015","SD","South Dakota","599","238","593","3.93","2.6","3.79","4.0","3.76","2.9","3.68","4.3","3.8","3.9","3.8","3.6","535","22","564","554","16","597","568","27","569","613","27","606","452","11","491","578","60","604","569","35","538","655","74","650","612","81","617","508","37","514","500","5","456","0","0","0","428","6","462","575","129","584","623","109","602","2","1","3","1","3","4","4","1","5","7","2","9","21","11","32","23","13","36","45","29","74","36","36","72","41","38","79","37","28","65","16","29","45","25","27","52"
"2015","TN","Tennessee","574","4497","581","3.92","2.5","3.7","4.0","3.64","3.1","3.6","4.1","3.64","3.8","3.7","3.6","526","267","531","540","314","559","553","307","566","576","321","591","500","143","505","581","1505","589","562","907","566","644","869","646","601","1418","609","511","1077","522","449","106","454","0","0","0","515","120","519","556","2271","576","592","2226","586","16","12","28","15","25","40","134","86","220","101","77","178","484","346","830","380","363","743","794","650","1444","809","684","1493","630","700","1330","673","728","1401","213","432","645","293","349","642"
"2015","TX","Texas","487","193768","470","3.84","2.2","3.44","3.8","3.46","2.6","3.27","3.9","3.36","3.7","3.45","3.7","465","21287","449","483","17312","471","497","13589","488","515","11822","504","432","18437","413","543","34262","528","515","37788","497","608","12184","587","557","33641","538","449","87512","434","394","12348","380","378","190","364","404","10105","433","474","103753","468","500","90015","472","3738","3034","6772","5111","5492","10603","20113","13740","33853","22448","18814","41262","37813","28091","65904","36251","28838","65089","28174","25839","54013","26259","22882","49141","11314","14337","25651","10979","10993","21972","2601","4974","7575","2705","2996","5701"
"2015","UT","Utah","575","1527","579","3.91","2.9","3.77","4.0","3.72","3.0","3.6","4.0","3.69","3.7","3.74","3.7","537","84","535","566","88","568","580","134","585","582","128","574","532","49","509","601","514","606","553","267","550","647","294","642","613","502","611","497","312","519","444","33","465","0","0","0","504","119","524","550","783","568","601","744","590","6","7","13","8","12","20","50","33","83","32","43","75","187","102","289","168","96","264","253","190","443","260","219","479","218","251","469","220","226","446","69","161","230","95","148","243"
"2015","VT","Vermont","524","4564","522","3.81","2.5","3.5","3.9","3.42","2.9","3.27","3.9","3.38","3.6","3.5","3.6","498","357","508","507","425","514","521","465","523","528","469","528","469","180","467","555","952","553","545","931","544","640","190","643","590","950","585","489","1929","487","423","293","434","401","8","453","470","263","488","510","2445","521","539","2119","524","38","26","64","44","37","81","261","154","415","216","221","437","824","560","1384","750","619","1369","797","723","1520","840","656","1496","426","494","920","471","466","937","99","162","261","124","120","244"
"2015","VI","Virgin Islands","390","872","415","3.56","1.5","3.16","3.5","3.22","2.1","2.89","3.2","3.07","2.9","3.19","3.0","377","146","407","412","101","444","430","62","455","405","40","433","369","172","389","368","46","372","429","74","457","575","15","553","496","90","509","373","530","404","331","134","350","0","0","0","394","29","380","379","529","408","401","343","422","87","48","135","50","28","78","231","114","345","182","112","294","161","125","286","210","131","341","36","36","72","70","52","122","14","18","32","15","16","31","2","2","3","2","4","6"
"2015","VA","Virginia","517","59621","518","3.83","2.1","3.47","3.9","3.32","3.3","3.17","4.1","3.38","3.8","3.46","3.9","469","4906","472","488","5070","494","496","4843","505","514","4797","518","441","3114","446","549","16858","550","540","11032","540","605","4130","603","582","12489","578","479","23912","484","419","5027","428","396","102","406","471","2929","485","502","31765","516","532","27856","521","479","352","831","433","468","901","4336","2675","7011","3441","3033","6474","10779","7759","18538","10020","8074","18094","10066","8878","18944","10627","9319","19946","4848","6022","10870","5765","5401","11166","1257","2170","3427","1479","1561","3040"
"2015","WA","Washington","511","44423","502","3.83","2.2","3.5","3.9","3.46","2.6","3.22","3.9","3.37","3.4","3.48","3.4","483","3689","473","503","3454","499","521","3619","517","534","3496","530","449","2668","437","560","10262","552","542","7903","529","620","2797","605","582","8430","567","482","16364","478","423","4304","423","388","238","398","417","4387","442","498","23654","502","525","20769","503","844","650","1494","842","891","1733","3261","2269","5530","3283","3059","6342","7474","5307","12781","7272","5904","13176","7523","6519","14042","7371","6093","13464","3710","4440","8150","3819","3745","7564","842","1584","2426","1067","1077","2144"
"2015","WV","West Virginia","500","2501","509","3.92","2.4","3.71","3.9","3.57","2.5","3.47","4.2","3.58","3.9","3.7","3.9","468","269","481","483","294","492","487","281","501","503","297","511","448","159","455","522","696","532","478","405","488","559","551","565","516","816","524","446","584","463","401","80","414","0","1","0","454","64","452","487","1451","506","513","1050","512","17","19","36","22","17","39","219","115","334","144","111","255","587","333","920","529","337","866","429","354","783","503","359","862","169","186","355","211","186","397","30","43","73","42","40","82"
"2015","WI","Wisconsin","606","2277","591","3.93","2.6","3.77","4.1","3.72","3.5","3.64","4.1","3.7","3.9","3.76","3.8","551","127","544","596","174","579","590","172","580","605","213","595","573","60","532","615","730","603","585","375","570","668","430","655","635","876","621","527","418","515","466","47","449","0","4","0","515","127","552","585","1219","586","627","1058","597","5","4","9","9","6","15","43","23","66","51","49","100","189","106","295","198","150","348","391","243","634","376","291","667","425","373","798","387","337","724","166","309","475","198","225","423"
"2015","WY","Wyoming","587","181","588","3.91","2.5","3.84","4.1","3.75","3.2","3.64","4.2","3.71","4.0","3.79","3.7","533","12","560","550","21","572","561","14","604","598","27","587","0","3","0","573","63","591","549","37","561","658","30","621","614","70","630","523","40","521","0","2","0","0","0","0","0","2","0","571","98","595","604","83","582","0","0","0","0","0","0","4","2","6","2","4","6","24","11","35","14","14","28","30","21","51","33","30","63","28","36","64","34","20","54","12","13","25","15","15","30"
